Keyword "import" line 1, position 1
Identifier "main" line 16, position 24
Separator "(" line 16, position 28
Identifier "String" line 16, position 29
Separator "[" line 16, position 35
Separator "]" line 16, position 36
Identifier "args" line 16, position 38
Separator ")" line 16, position 42
Separator "{" line 16, position 44
Identifier "InputStream" line 17, position 9
Identifier "inputStream" line 17, position 21
Operator "=" line 17, position 33
Identifier "System" line 17, position 35
Separator "." line 17, position 41
Identifier "in" line 17, position 42
Separator ";" line 17, position 44
Identifier "OutputStream" line 18, position 9
Identifier "outputStream" line 18, position 22
Operator "=" line 18, position 35
Identifier "System" line 18, position 37
Separator "." line 18, position 43
Identifier "out" line 18, position 44
Separator ";" line 18, position 47
Identifier "MyScanner" line 19, position 9
Identifier "in" line 19, position 19
Operator "=" line 19, position 22
Keyword "new" line 19, position 24
Identifier "MyScanner" line 19, position 28
Separator "(" line 19, position 37
Identifier "inputStream" line 19, position 38
Separator ")" line 19, position 49
Separator ";" line 19, position 50
Identifier "PrintWriter" line 20, position 9
Identifier "out" line 20, position 21
Operator "=" line 20, position 25
Keyword "new" line 20, position 27
Identifier "PrintWriter" line 20, position 31
Separator "(" line 20, position 42
Identifier "outputStream" line 20, position 43
Separator ")" line 20, position 55
Separator ";" line 20, position 56
Identifier "A" line 21, position 9
Identifier "solver" line 21, position 11
Operator "=" line 21, position 18
Keyword "new" line 21, position 20
Identifier "A" line 21, position 24
Separator "(" line 21, position 25
Separator ")" line 21, position 26
Separator ";" line 21, position 27
Identifier "solver" line 22, position 9
Separator "." line 22, position 15
Identifier "solve" line 22, position 16
Separator "(" line 22, position 21
DecimalInteger "1" line 22, position 22
Separator "," line 22, position 23
Identifier "in" line 22, position 25
Separator "," line 22, position 27
Identifier "out" line 22, position 29
Separator ")" line 22, position 32
Separator ";" line 22, position 33
Identifier "out" line 23, position 9
Separator "." line 23, position 12
Identifier "close" line 23, position 13
Separator "(" line 23, position 18
Separator ")" line 23, position 19
Separator ";" line 23, position 20
Separator "}" line 24, position 5
Modifier "static" line 26, position 5
Keyword "class" line 26, position 12
Identifier "A" line 26, position 18
Separator "{" line 26, position 20
Modifier "public" line 27, position 9
Keyword "void" line 27, position 16
Identifier "solve" line 27, position 21
Separator "(" line 27, position 26
BasicType "int" line 27, position 27
Identifier "testNumber" line 27, position 31
Separator "," line 27, position 41
Identifier "MyScanner" line 27, position 43
Identifier "in" line 27, position 53
Separator "," line 27, position 55
Identifier "PrintWriter" line 27, position 57
Identifier "out" line 27, position 69
Separator ")" line 27, position 72
Separator "{" line 27, position 74
BasicType "char" line 28, position 13
Separator "[" line 28, position 17
Separator "]" line 28, position 18
Identifier "n" line 28, position 20
Operator "=" line 28, position 22
Identifier "in" line 28, position 24
Separator "." line 28, position 26
Identifier "next" line 28, position 27
Separator "(" line 28, position 31
Separator ")" line 28, position 32
Separator "." line 28, position 33
Identifier "toCharArray" line 28, position 34
Separator "(" line 28, position 45
Separator ")" line 28, position 46
Separator ";" line 28, position 47
Keyword "for" line 29, position 13
Separator "(" line 29, position 17
BasicType "int" line 29, position 18
Identifier "i" line 29, position 22
Operator "=" line 29, position 24
DecimalInteger "0" line 29, position 26
Separator ";" line 29, position 27
Identifier "i" line 29, position 29
Operator "<" line 29, position 31
DecimalInteger "3" line 29, position 33
Separator ";" line 29, position 34
Identifier "i" line 29, position 36
Operator "++" line 29, position 37
Separator ")" line 29, position 39
Separator "{" line 29, position 41
Keyword "if" line 30, position 17
Separator "(" line 30, position 20
Identifier "n" line 30, position 21
Separator "[" line 30, position 22
Identifier "i" line 30, position 23
Separator "]" line 30, position 24
Operator "==" line 30, position 26
String "'1'" line 30, position 29
Separator ")" line 30, position 32
Separator "{" line 30, position 34
Identifier "n" line 31, position 21
Separator "[" line 31, position 22
Identifier "i" line 31, position 23
Separator "]" line 31, position 24
Operator "=" line 31, position 26
String "'9'" line 31, position 28
Separator ";" line 31, position 31
Separator "}" line 32, position 17
Keyword "else" line 32, position 19
Keyword "if" line 32, position 24
Separator "(" line 32, position 27
Identifier "n" line 32, position 28
Separator "[" line 32, position 29
Identifier "i" line 32, position 30
Separator "]" line 32, position 31
Operator "==" line 32, position 33
String "'9'" line 32, position 36
Separator ")" line 32, position 39
Separator "{" line 32, position 41
Identifier "n" line 33, position 21
Separator "[" line 33, position 22
Identifier "i" line 33, position 23
Separator "]" line 33, position 24
Operator "=" line 33, position 26
String "'1'" line 33, position 28
Separator ";" line 33, position 31
Separator "}" line 34, position 17
Separator "}" line 35, position 13
Identifier "out" line 36, position 13
Separator "." line 36, position 16
Identifier "println" line 36, position 17
Separator "(" line 36, position 24
Identifier "Integer" line 36, position 25
Separator "." line 36, position 32
Identifier "parseInt" line 36, position 33
Separator "(" line 36, position 41
Keyword "new" line 36, position 42
Identifier "String" line 36, position 46
Separator "(" line 36, position 52
Identifier "n" line 36, position 53
Separator ")" line 36, position 54
Separator ")" line 36, position 55
Separator ")" line 36, position 56
Separator ";" line 36, position 57
Separator "}" line 37, position 9
Separator "}" line 39, position 5
Modifier "static" line 41, position 5
Keyword "class" line 41, position 12
Identifier "MyScanner" line 41, position 18
Separator "{" line 41, position 28
Modifier "private" line 42, position 9
Identifier "BufferedReader" line 42, position 17
Identifier "in" line 42, position 32
Separator ";" line 42, position 34
Modifier "private" line 43, position 9
Identifier "StringTokenizer" line 43, position 17
Identifier "st" line 43, position 33
Separator ";" line 43, position 35
Modifier "public" line 45, position 9
Identifier "MyScanner" line 45, position 16
Separator "(" line 45, position 25
Identifier "InputStream" line 45, position 26
Identifier "stream" line 45, position 38
Separator ")" line 45, position 44
Separator "{" line 45, position 46
Identifier "in" line 46, position 13
Operator "=" line 46, position 16
Keyword "new" line 46, position 18
Identifier "BufferedReader" line 46, position 22
Separator "(" line 46, position 36
Keyword "new" line 46, position 37
Identifier "InputStreamReader" line 46, position 41
Separator "(" line 46, position 58
Identifier "stream" line 46, position 59
Separator ")" line 46, position 65
Separator ")" line 46, position 66
Separator ";" line 46, position 67
Separator "}" line 47, position 9
Modifier "public" line 49, position 9
Identifier "String" line 49, position 16
Identifier "next" line 49, position 23
Separator "(" line 49, position 27
Separator ")" line 49, position 28
Separator "{" line 49, position 30
Keyword "while" line 50, position 13
Separator "(" line 50, position 19
Identifier "st" line 50, position 20
Operator "==" line 50, position 23
Null "null" line 50, position 26
Operator "||" line 50, position 31
Operator "!" line 50, position 34
Identifier "st" line 50, position 35
Separator "." line 50, position 37
Identifier "hasMoreTokens" line 50, position 38
Separator "(" line 50, position 51
Separator ")" line 50, position 52
Separator ")" line 50, position 53
Separator "{" line 50, position 55
Keyword "try" line 51, position 17
Separator "{" line 51, position 21
Identifier "String" line 52, position 21
Identifier "rl" line 52, position 28
Operator "=" line 52, position 31
Identifier "in" line 52, position 33
Separator "." line 52, position 35
Identifier "readLine" line 52, position 36
Separator "(" line 52, position 44
Separator ")" line 52, position 45
Separator ";" line 52, position 46
Keyword "if" line 53, position 21
Separator "(" line 53, position 24
Identifier "rl" line 53, position 25
Operator "==" line 53, position 28
Null "null" line 53, position 31
Separator ")" line 53, position 35
Separator "{" line 53, position 37
Keyword "return" line 54, position 25
Null "null" line 54, position 32
Separator ";" line 54, position 36
Separator "}" line 55, position 21
Identifier "st" line 56, position 21
Operator "=" line 56, position 24
Keyword "new" line 56, position 26
Identifier "StringTokenizer" line 56, position 30
Separator "(" line 56, position 45
Identifier "rl" line 56, position 46
Separator ")" line 56, position 48
Separator ";" line 56, position 49
Separator "}" line 57, position 17
Keyword "catch" line 57, position 19
Separator "(" line 57, position 25
Identifier "IOException" line 57, position 26
Identifier "e" line 57, position 38
Separator ")" line 57, position 39
Separator "{" line 57, position 41
Keyword "throw" line 58, position 21
Keyword "new" line 58, position 27
Identifier "RuntimeException" line 58, position 31
Separator "(" line 58, position 47
Identifier "e" line 58, position 48
Separator ")" line 58, position 49
Separator ";" line 58, position 50
Separator "}" line 59, position 17
Separator "}" line 60, position 13
Keyword "return" line 61, position 13
Identifier "st" line 61, position 20
Separator "." line 61, position 22
Identifier "nextToken" line 61, position 23
Separator "(" line 61, position 32
Separator ")" line 61, position 33
Separator ";" line 61, position 34
Separator "}" line 62, position 9
Separator "}" line 64, position 5
Separator "}" line 65, position 1
