Keyword "import" line 1, position 1
Identifier "main" line 18, position 24
Separator "(" line 18, position 28
Identifier "String" line 18, position 29
Separator "[" line 18, position 35
Separator "]" line 18, position 36
Identifier "args" line 18, position 38
Separator ")" line 18, position 42
Separator "{" line 18, position 44
Identifier "InputStream" line 19, position 9
Identifier "inputStream" line 19, position 21
Operator "=" line 19, position 33
Identifier "System" line 19, position 35
Separator "." line 19, position 41
Identifier "in" line 19, position 42
Separator ";" line 19, position 44
Identifier "OutputStream" line 20, position 9
Identifier "outputStream" line 20, position 22
Operator "=" line 20, position 35
Identifier "System" line 20, position 37
Separator "." line 20, position 43
Identifier "out" line 20, position 44
Separator ";" line 20, position 47
Identifier "InputReader" line 21, position 9
Identifier "in" line 21, position 21
Operator "=" line 21, position 24
Keyword "new" line 21, position 26
Identifier "InputReader" line 21, position 30
Separator "(" line 21, position 41
Identifier "inputStream" line 21, position 42
Separator ")" line 21, position 53
Separator ";" line 21, position 54
Identifier "PrintWriter" line 22, position 9
Identifier "out" line 22, position 21
Operator "=" line 22, position 25
Keyword "new" line 22, position 27
Identifier "PrintWriter" line 22, position 31
Separator "(" line 22, position 42
Identifier "outputStream" line 22, position 43
Separator ")" line 22, position 55
Separator ";" line 22, position 56
Identifier "DRobotArms" line 23, position 9
Identifier "solver" line 23, position 20
Operator "=" line 23, position 27
Keyword "new" line 23, position 29
Identifier "DRobotArms" line 23, position 33
Separator "(" line 23, position 43
Separator ")" line 23, position 44
Separator ";" line 23, position 45
Identifier "solver" line 24, position 9
Separator "." line 24, position 15
Identifier "solve" line 24, position 16
Separator "(" line 24, position 21
DecimalInteger "1" line 24, position 22
Separator "," line 24, position 23
Identifier "in" line 24, position 25
Separator "," line 24, position 27
Identifier "out" line 24, position 29
Separator ")" line 24, position 32
Separator ";" line 24, position 33
Identifier "out" line 25, position 9
Separator "." line 25, position 12
Identifier "close" line 25, position 13
Separator "(" line 25, position 18
Separator ")" line 25, position 19
Separator ";" line 25, position 20
Separator "}" line 26, position 5
Modifier "static" line 28, position 5
Keyword "class" line 28, position 12
Identifier "DRobotArms" line 28, position 18
Separator "{" line 28, position 29
Modifier "public" line 29, position 9
Keyword "void" line 29, position 16
Identifier "solve" line 29, position 21
Separator "(" line 29, position 26
BasicType "int" line 29, position 27
Identifier "testNumber" line 29, position 31
Separator "," line 29, position 41
Identifier "InputReader" line 29, position 43
Identifier "in" line 29, position 55
Separator "," line 29, position 57
Identifier "PrintWriter" line 29, position 59
Identifier "out" line 29, position 71
Separator ")" line 29, position 74
Separator "{" line 29, position 76
BasicType "int" line 30, position 13
Identifier "n" line 30, position 17
Operator "=" line 30, position 19
Identifier "in" line 30, position 21
Separator "." line 30, position 23
Identifier "nextInt" line 30, position 24
Separator "(" line 30, position 31
Separator ")" line 30, position 32
Separator "," line 30, position 33
Identifier "x" line 30, position 35
Separator "[" line 30, position 36
Separator "]" line 30, position 37
Operator "=" line 30, position 39
Keyword "new" line 30, position 41
BasicType "int" line 30, position 45
Separator "[" line 30, position 48
Identifier "n" line 30, position 49
Separator "]" line 30, position 50
Separator "," line 30, position 51
Identifier "y" line 30, position 53
Separator "[" line 30, position 54
Separator "]" line 30, position 55
Operator "=" line 30, position 57
Keyword "new" line 30, position 59
BasicType "int" line 30, position 63
Separator "[" line 30, position 66
Identifier "n" line 30, position 67
Separator "]" line 30, position 68
Separator ";" line 30, position 69
Keyword "for" line 31, position 13
Separator "(" line 31, position 17
BasicType "int" line 31, position 18
Identifier "i" line 31, position 22
Operator "=" line 31, position 24
DecimalInteger "0" line 31, position 26
Separator ";" line 31, position 27
Identifier "i" line 31, position 29
Operator "<" line 31, position 31
Identifier "n" line 31, position 33
Separator ";" line 31, position 34
Operator "++" line 31, position 36
Identifier "i" line 31, position 38
Separator ")" line 31, position 39
Separator "{" line 31, position 41
Identifier "x" line 32, position 17
Separator "[" line 32, position 18
Identifier "i" line 32, position 19
Separator "]" line 32, position 20
Operator "=" line 32, position 22
Identifier "in" line 32, position 24
Separator "." line 32, position 26
Identifier "nextInt" line 32, position 27
Separator "(" line 32, position 34
Separator ")" line 32, position 35
Separator ";" line 32, position 36
Identifier "y" line 33, position 17
Separator "[" line 33, position 18
Identifier "i" line 33, position 19
Separator "]" line 33, position 20
Operator "=" line 33, position 22
Identifier "in" line 33, position 24
Separator "." line 33, position 26
Identifier "nextInt" line 33, position 27
Separator "(" line 33, position 34
Separator ")" line 33, position 35
Separator ";" line 33, position 36
Separator "}" line 34, position 13
BasicType "int" line 36, position 13
Identifier "mod2" line 36, position 17
Operator "=" line 36, position 22
Identifier "Math" line 36, position 24
Separator "." line 36, position 28
Identifier "abs" line 36, position 29
Separator "(" line 36, position 32
Identifier "x" line 36, position 33
Separator "[" line 36, position 34
DecimalInteger "0" line 36, position 35
Separator "]" line 36, position 36
Separator ")" line 36, position 37
Operator "+" line 36, position 39
Identifier "Math" line 36, position 41
Separator "." line 36, position 45
Identifier "abs" line 36, position 46
Separator "(" line 36, position 49
Identifier "y" line 36, position 50
Separator "[" line 36, position 51
DecimalInteger "0" line 36, position 52
Separator "]" line 36, position 53
Separator ")" line 36, position 54
Separator "," line 36, position 55
Identifier "maxdist" line 36, position 57
Operator "=" line 36, position 65
DecimalInteger "0" line 36, position 67
Separator ";" line 36, position 68
Identifier "mod2" line 37, position 13
Operator "%=" line 37, position 18
DecimalInteger "2" line 37, position 21
Separator ";" line 37, position 22
BasicType "boolean" line 38, position 13
Identifier "ok" line 38, position 21
Operator "=" line 38, position 24
Boolean "true" line 38, position 26
Separator ";" line 38, position 30
Keyword "for" line 39, position 13
Separator "(" line 39, position 17
BasicType "int" line 39, position 18
Identifier "i" line 39, position 22
Operator "=" line 39, position 24
DecimalInteger "1" line 39, position 26
Separator ";" line 39, position 27
Identifier "i" line 39, position 29
Operator "<" line 39, position 31
Identifier "n" line 39, position 33
Operator "&&" line 39, position 35
Identifier "ok" line 39, position 38
Separator ";" line 39, position 40
Operator "++" line 39, position 42
Identifier "i" line 39, position 44
Separator ")" line 39, position 45
Separator "{" line 39, position 47
BasicType "int" line 40, position 17
Identifier "curdist" line 40, position 21
Operator "=" line 40, position 29
Identifier "Math" line 40, position 31
Separator "." line 40, position 35
Identifier "abs" line 40, position 36
Separator "(" line 40, position 39
Identifier "x" line 40, position 40
Separator "[" line 40, position 41
Identifier "i" line 40, position 42
Separator "]" line 40, position 43
Separator ")" line 40, position 44
Operator "+" line 40, position 46
Identifier "Math" line 40, position 48
Separator "." line 40, position 52
Identifier "abs" line 40, position 53
Separator "(" line 40, position 56
Identifier "y" line 40, position 57
Separator "[" line 40, position 58
Identifier "i" line 40, position 59
Separator "]" line 40, position 60
Separator ")" line 40, position 61
Separator ";" line 40, position 62
Keyword "if" line 41, position 17
Separator "(" line 41, position 20
Identifier "curdist" line 41, position 21
Operator "%" line 41, position 29
DecimalInteger "2" line 41, position 31
Operator "!=" line 41, position 33
Identifier "mod2" line 41, position 36
Separator ")" line 41, position 40
Identifier "ok" line 41, position 42
Operator "=" line 41, position 45
Boolean "false" line 41, position 47
Separator ";" line 41, position 52
Identifier "maxdist" line 42, position 17
Operator "=" line 42, position 25
Identifier "Math" line 42, position 27
Separator "." line 42, position 31
Identifier "max" line 42, position 32
Separator "(" line 42, position 35
Identifier "curdist" line 42, position 36
Separator "," line 42, position 43
Identifier "maxdist" line 42, position 45
Separator ")" line 42, position 52
Separator ";" line 42, position 53
Separator "}" line 43, position 13
Keyword "if" line 44, position 13
Separator "(" line 44, position 16
Operator "!" line 44, position 17
Identifier "ok" line 44, position 18
Separator ")" line 44, position 20
Separator "{" line 44, position 22
Identifier "out" line 45, position 17
Separator "." line 45, position 20
Identifier "println" line 45, position 21
Separator "(" line 45, position 28
Operator "-" line 45, position 29
DecimalInteger "1" line 45, position 30
Separator ")" line 45, position 31
Separator ";" line 45, position 32
Keyword "return" line 46, position 17
Separator ";" line 46, position 23
Separator "}" line 47, position 13
Identifier "mod2" line 48, position 13
Operator "=" line 48, position 18
DecimalInteger "1" line 48, position 20
Operator "-" line 48, position 22
Identifier "mod2" line 48, position 24
Separator ";" line 48, position 28
BasicType "int" line 50, position 13
Identifier "dn" line 50, position 17
Operator "=" line 50, position 20
DecimalInteger "0" line 50, position 22
Separator ";" line 50, position 23
Keyword "if" line 51, position 13
Separator "(" line 51, position 16
Identifier "mod2" line 51, position 17
Operator "==" line 51, position 22
DecimalInteger "1" line 51, position 25
Separator ")" line 51, position 26
Identifier "maxdist" line 51, position 28
Operator "--" line 51, position 35
Separator ";" line 51, position 37
Keyword "for" line 52, position 13
Separator "(" line 52, position 17
Separator ";" line 52, position 18
Separator "(" line 52, position 20
DecimalInteger "1" line 52, position 21
Operator "<<" line 52, position 23
Identifier "dn" line 52, position 26
Separator ")" line 52, position 28
Operator "-" line 52, position 30
DecimalInteger "1" line 52, position 32
Operator "<" line 52, position 34
Identifier "maxdist" line 52, position 36
Separator ";" line 52, position 43
Operator "++" line 52, position 45
Identifier "dn" line 52, position 47
Separator ")" line 52, position 49
Separator ";" line 52, position 51
Identifier "out" line 53, position 13
Separator "." line 53, position 16
Identifier "println" line 53, position 17
Separator "(" line 53, position 24
Separator "(" line 53, position 25
Identifier "mod2" line 53, position 26
Operator "==" line 53, position 31
DecimalInteger "1" line 53, position 34
Operator "?" line 53, position 36
Identifier "dn" line 53, position 38
Operator "+" line 53, position 41
DecimalInteger "1" line 53, position 43
Operator ":" line 53, position 45
Identifier "dn" line 53, position 47
Separator ")" line 53, position 49
Separator ")" line 53, position 50
Separator ";" line 53, position 51
Keyword "if" line 54, position 13
Separator "(" line 54, position 16
Identifier "mod2" line 54, position 17
Operator "==" line 54, position 22
DecimalInteger "1" line 54, position 25
Separator ")" line 54, position 26
Separator "{" line 54, position 28
Identifier "out" line 55, position 17
Separator "." line 55, position 20
Identifier "print" line 55, position 21
Separator "(" line 55, position 26
String ""1 "" line 55, position 27
Separator ")" line 55, position 31
Separator ";" line 55, position 32
Separator "}" line 56, position 13
Keyword "for" line 57, position 13
Separator "(" line 57, position 17
BasicType "int" line 57, position 18
Identifier "i" line 57, position 22
Operator "=" line 57, position 24
Identifier "dn" line 57, position 26
Operator "-" line 57, position 29
DecimalInteger "1" line 57, position 31
Separator ";" line 57, position 32
Identifier "i" line 57, position 34
Operator ">" line 57, position 36
DecimalInteger "0" line 57, position 38
Separator ";" line 57, position 39
Operator "--" line 57, position 41
Identifier "i" line 57, position 43
Separator ")" line 57, position 44
Identifier "out" line 57, position 46
Separator "." line 57, position 49
Identifier "printf" line 57, position 50
Separator "(" line 57, position 56
String ""%d "" line 57, position 57
Separator "," line 57, position 62
DecimalInteger "1" line 57, position 64
Operator "<<" line 57, position 66
Identifier "i" line 57, position 69
Separator ")" line 57, position 70
Separator ";" line 57, position 71
Identifier "out" line 58, position 13
Separator "." line 58, position 16
Identifier "println" line 58, position 17
Separator "(" line 58, position 24
DecimalInteger "1" line 58, position 25
Separator ")" line 58, position 26
Separator ";" line 58, position 27
BasicType "char" line 60, position 13
Identifier "ans" line 60, position 18
Separator "[" line 60, position 21
Separator "]" line 60, position 22
Operator "=" line 60, position 24
Keyword "new" line 60, position 26
BasicType "char" line 60, position 30
Separator "[" line 60, position 34
Identifier "n" line 60, position 35
Operator "+" line 60, position 37
DecimalInteger "10" line 60, position 39
Separator "]" line 60, position 41
Separator ";" line 60, position 42
Keyword "for" line 61, position 13
Separator "(" line 61, position 17
BasicType "int" line 61, position 18
Identifier "i" line 61, position 22
Operator "=" line 61, position 24
DecimalInteger "0" line 61, position 26
Separator ";" line 61, position 27
Identifier "i" line 61, position 29
Operator "<" line 61, position 31
Identifier "n" line 61, position 33
Separator ";" line 61, position 34
Operator "++" line 61, position 36
Identifier "i" line 61, position 38
Separator ")" line 61, position 39
Separator "{" line 61, position 41
BasicType "int" line 62, position 17
Identifier "curx" line 62, position 21
Operator "=" line 62, position 26
Identifier "x" line 62, position 28
Separator "[" line 62, position 29
Identifier "i" line 62, position 30
Separator "]" line 62, position 31
Separator "," line 62, position 32
Identifier "cury" line 62, position 34
Operator "=" line 62, position 39
Identifier "y" line 62, position 41
Separator "[" line 62, position 42
Identifier "i" line 62, position 43
Separator "]" line 62, position 44
Separator "," line 62, position 45
Identifier "qt" line 62, position 47
Operator "=" line 62, position 50
DecimalInteger "0" line 62, position 52
Separator ";" line 62, position 53
Keyword "if" line 64, position 17
Separator "(" line 64, position 20
Identifier "mod2" line 64, position 21
Operator "==" line 64, position 26
DecimalInteger "1" line 64, position 29
Separator ")" line 64, position 30
Separator "{" line 64, position 32
Keyword "if" line 65, position 21
Separator "(" line 65, position 24
Identifier "curx" line 65, position 25
Operator ">" line 65, position 30
DecimalInteger "0" line 65, position 32
Separator ")" line 65, position 33
Separator "{" line 65, position 35
Identifier "ans" line 66, position 25
Separator "[" line 66, position 28
Identifier "qt" line 66, position 29
Operator "++" line 66, position 31
Separator "]" line 66, position 33
Operator "=" line 66, position 35
String "'R'" line 66, position 37
Separator ";" line 66, position 40
Operator "--" line 67, position 25
Identifier "curx" line 67, position 27
Separator ";" line 67, position 31
Separator "}" line 68, position 21
Keyword "else" line 68, position 23
Keyword "if" line 68, position 28
Separator "(" line 68, position 31
Identifier "curx" line 68, position 32
Operator "<" line 68, position 37
DecimalInteger "0" line 68, position 39
Separator ")" line 68, position 40
Separator "{" line 68, position 42
Identifier "ans" line 69, position 25
Separator "[" line 69, position 28
Identifier "qt" line 69, position 29
Operator "++" line 69, position 31
Separator "]" line 69, position 33
Operator "=" line 69, position 35
String "'L'" line 69, position 37
Separator ";" line 69, position 40
Operator "++" line 70, position 25
Identifier "curx" line 70, position 27
Separator ";" line 70, position 31
Separator "}" line 71, position 21
Keyword "else" line 71, position 23
Keyword "if" line 71, position 28
Separator "(" line 71, position 31
Identifier "cury" line 71, position 32
Operator ">" line 71, position 37
DecimalInteger "0" line 71, position 39
Separator ")" line 71, position 40
Separator "{" line 71, position 42
Identifier "ans" line 72, position 25
Separator "[" line 72, position 28
Identifier "qt" line 72, position 29
Operator "++" line 72, position 31
Separator "]" line 72, position 33
Operator "=" line 72, position 35
String "'U'" line 72, position 37
Separator ";" line 72, position 40
Operator "--" line 73, position 25
Identifier "cury" line 73, position 27
Separator ";" line 73, position 31
Separator "}" line 74, position 21
Keyword "else" line 74, position 23
Separator "{" line 74, position 28
Identifier "ans" line 75, position 25
Separator "[" line 75, position 28
Identifier "qt" line 75, position 29
Operator "++" line 75, position 31
Separator "]" line 75, position 33
Operator "=" line 75, position 35
String "'P'" line 75, position 37
Separator ";" line 75, position 40
Operator "++" line 76, position 25
Identifier "cury" line 76, position 27
Separator ";" line 76, position 31
Separator "}" line 77, position 21
Separator "}" line 78, position 17
Keyword "for" line 80, position 17
Separator "(" line 80, position 21
BasicType "int" line 80, position 22
Identifier "j" line 80, position 26
Operator "=" line 80, position 28
Identifier "dn" line 80, position 30
Operator "-" line 80, position 33
DecimalInteger "1" line 80, position 35
Separator ";" line 80, position 36
Identifier "j" line 80, position 38
Operator ">=" line 80, position 40
DecimalInteger "0" line 80, position 43
Separator ";" line 80, position 44
Operator "--" line 80, position 46
Identifier "j" line 80, position 48
Separator ")" line 80, position 49
Separator "{" line 80, position 51
Keyword "if" line 81, position 21
Separator "(" line 81, position 24
Identifier "Math" line 81, position 25
Separator "." line 81, position 29
Identifier "abs" line 81, position 30
Separator "(" line 81, position 33
Identifier "curx" line 81, position 34
Operator "+" line 81, position 39
Separator "(" line 81, position 41
DecimalInteger "1" line 81, position 42
Operator "<<" line 81, position 44
Identifier "j" line 81, position 47
Separator ")" line 81, position 48
Separator ")" line 81, position 49
Operator "+" line 81, position 51
Identifier "Math" line 81, position 53
Separator "." line 81, position 57
Identifier "abs" line 81, position 58
Separator "(" line 81, position 61
Identifier "cury" line 81, position 62
Separator ")" line 81, position 66
Operator "<=" line 81, position 68
Separator "(" line 81, position 71
DecimalInteger "1" line 81, position 72
Operator "<<" line 81, position 74
Identifier "j" line 81, position 77
Separator ")" line 81, position 78
Operator "-" line 81, position 80
DecimalInteger "1" line 81, position 82
Separator ")" line 81, position 83
Separator "{" line 81, position 85
Identifier "ans" line 82, position 25
Separator "[" line 82, position 28
Identifier "qt" line 82, position 29
Operator "++" line 82, position 31
Separator "]" line 82, position 33
Operator "=" line 82, position 35
String "'L'" line 82, position 37
Separator ";" line 82, position 40
Identifier "curx" line 83, position 25
Operator "+=" line 83, position 30
DecimalInteger "1" line 83, position 33
Operator "<<" line 83, position 35
Identifier "j" line 83, position 38
Separator ";" line 83, position 39
Separator "}" line 84, position 21
Keyword "else" line 84, position 23
Keyword "if" line 84, position 28
Separator "(" line 84, position 31
Identifier "Math" line 84, position 32
Separator "." line 84, position 36
Identifier "abs" line 84, position 37
Separator "(" line 84, position 40
Identifier "curx" line 84, position 41
Operator "-" line 84, position 46
Separator "(" line 84, position 48
DecimalInteger "1" line 84, position 49
Operator "<<" line 84, position 51
Identifier "j" line 84, position 54
Separator ")" line 84, position 55
Separator ")" line 84, position 56
Operator "+" line 84, position 58
Identifier "Math" line 84, position 60
Separator "." line 84, position 64
Identifier "abs" line 84, position 65
Separator "(" line 84, position 68
Identifier "cury" line 84, position 69
Separator ")" line 84, position 73
Operator "<=" line 84, position 75
Separator "(" line 84, position 78
DecimalInteger "1" line 84, position 79
Operator "<<" line 84, position 81
Identifier "j" line 84, position 84
Separator ")" line 84, position 85
Operator "-" line 84, position 87
DecimalInteger "1" line 84, position 89
Separator ")" line 84, position 90
Separator "{" line 84, position 92
Identifier "ans" line 85, position 25
Separator "[" line 85, position 28
Identifier "qt" line 85, position 29
Operator "++" line 85, position 31
Separator "]" line 85, position 33
Operator "=" line 85, position 35
String "'R'" line 85, position 37
Separator ";" line 85, position 40
Identifier "curx" line 86, position 25
Operator "-=" line 86, position 30
DecimalInteger "1" line 86, position 33
Operator "<<" line 86, position 35
Identifier "j" line 86, position 38
Separator ";" line 86, position 39
Separator "}" line 87, position 21
Keyword "else" line 87, position 23
Keyword "if" line 87, position 28
Separator "(" line 87, position 31
Identifier "Math" line 87, position 32
Separator "." line 87, position 36
Identifier "abs" line 87, position 37
Separator "(" line 87, position 40
Identifier "curx" line 87, position 41
Separator ")" line 87, position 45
Operator "+" line 87, position 47
Identifier "Math" line 87, position 49
Separator "." line 87, position 53
Identifier "abs" line 87, position 54
Separator "(" line 87, position 57
Identifier "cury" line 87, position 58
Operator "+" line 87, position 63
Separator "(" line 87, position 65
DecimalInteger "1" line 87, position 66
Operator "<<" line 87, position 68
Identifier "j" line 87, position 71
Separator ")" line 87, position 72
Separator ")" line 87, position 73
Operator "<=" line 87, position 75
Separator "(" line 87, position 78
DecimalInteger "1" line 87, position 79
Operator "<<" line 87, position 81
Identifier "j" line 87, position 84
Separator ")" line 87, position 85
Operator "-" line 87, position 87
DecimalInteger "1" line 87, position 89
Separator ")" line 87, position 90
Separator "{" line 87, position 92
Identifier "ans" line 88, position 25
Separator "[" line 88, position 28
Identifier "qt" line 88, position 29
Operator "++" line 88, position 31
Separator "]" line 88, position 33
Operator "=" line 88, position 35
String "'D'" line 88, position 37
Separator ";" line 88, position 40
Identifier "cury" line 89, position 25
Operator "+=" line 89, position 30
DecimalInteger "1" line 89, position 33
Operator "<<" line 89, position 35
Identifier "j" line 89, position 38
Separator ";" line 89, position 39
Separator "}" line 90, position 21
Keyword "else" line 90, position 23
Separator "{" line 90, position 28
Identifier "ans" line 91, position 25
Separator "[" line 91, position 28
Identifier "qt" line 91, position 29
Operator "++" line 91, position 31
Separator "]" line 91, position 33
Operator "=" line 91, position 35
String "'U'" line 91, position 37
Separator ";" line 91, position 40
Identifier "cury" line 92, position 25
Operator "-=" line 92, position 30
DecimalInteger "1" line 92, position 33
Operator "<<" line 92, position 35
Identifier "j" line 92, position 38
Separator ";" line 92, position 39
Separator "}" line 93, position 21
Separator "}" line 94, position 17
Identifier "ans" line 95, position 17
Separator "[" line 95, position 20
Identifier "qt" line 95, position 21
Separator "]" line 95, position 23
Operator "=" line 95, position 25
DecimalInteger "0" line 95, position 27
Separator ";" line 95, position 28
Identifier "out" line 97, position 17
Separator "." line 97, position 20
Identifier "println" line 97, position 21
Separator "(" line 97, position 28
Identifier "ans" line 97, position 29
Separator ")" line 97, position 32
Separator ";" line 97, position 33
Separator "}" line 98, position 13
Separator "}" line 99, position 9
Separator "}" line 101, position 5
Modifier "static" line 103, position 5
Keyword "class" line 103, position 12
Identifier "InputReader" line 103, position 18
Separator "{" line 103, position 30
Modifier "public" line 104, position 9
Identifier "BufferedReader" line 104, position 16
Identifier "reader" line 104, position 31
Separator ";" line 104, position 37
Modifier "public" line 105, position 9
Identifier "StringTokenizer" line 105, position 16
Identifier "tokenizer" line 105, position 32
Separator ";" line 105, position 41
Modifier "public" line 107, position 9
Identifier "InputReader" line 107, position 16
Separator "(" line 107, position 27
Identifier "InputStream" line 107, position 28
Identifier "stream" line 107, position 40
Separator ")" line 107, position 46
Separator "{" line 107, position 48
Identifier "reader" line 108, position 13
Operator "=" line 108, position 20
Keyword "new" line 108, position 22
Identifier "BufferedReader" line 108, position 26
Separator "(" line 108, position 40
Keyword "new" line 108, position 41
Identifier "InputStreamReader" line 108, position 45
Separator "(" line 108, position 62
Identifier "stream" line 108, position 63
Separator ")" line 108, position 69
Separator "," line 108, position 70
DecimalInteger "32768" line 108, position 72
Separator ")" line 108, position 77
Separator ";" line 108, position 78
Identifier "tokenizer" line 109, position 13
Operator "=" line 109, position 23
Null "null" line 109, position 25
Separator ";" line 109, position 29
Separator "}" line 110, position 9
Modifier "public" line 112, position 9
Identifier "String" line 112, position 16
Identifier "next" line 112, position 23
Separator "(" line 112, position 27
Separator ")" line 112, position 28
Separator "{" line 112, position 30
Keyword "while" line 113, position 13
Separator "(" line 113, position 19
Identifier "tokenizer" line 113, position 20
Operator "==" line 113, position 30
Null "null" line 113, position 33
Operator "||" line 113, position 38
Operator "!" line 113, position 41
Identifier "tokenizer" line 113, position 42
Separator "." line 113, position 51
Identifier "hasMoreTokens" line 113, position 52
Separator "(" line 113, position 65
Separator ")" line 113, position 66
Separator ")" line 113, position 67
Separator "{" line 113, position 69
Keyword "try" line 114, position 17
Separator "{" line 114, position 21
Identifier "tokenizer" line 115, position 21
Operator "=" line 115, position 31
Keyword "new" line 115, position 33
Identifier "StringTokenizer" line 115, position 37
Separator "(" line 115, position 52
Identifier "reader" line 115, position 53
Separator "." line 115, position 59
Identifier "readLine" line 115, position 60
Separator "(" line 115, position 68
Separator ")" line 115, position 69
Separator ")" line 115, position 70
Separator ";" line 115, position 71
Separator "}" line 116, position 17
Keyword "catch" line 116, position 19
Separator "(" line 116, position 25
Identifier "IOException" line 116, position 26
Identifier "e" line 116, position 38
Separator ")" line 116, position 39
Separator "{" line 116, position 41
Keyword "throw" line 117, position 21
Keyword "new" line 117, position 27
Identifier "RuntimeException" line 117, position 31
Separator "(" line 117, position 47
Identifier "e" line 117, position 48
Separator ")" line 117, position 49
Separator ";" line 117, position 50
Separator "}" line 118, position 17
Separator "}" line 119, position 13
Keyword "return" line 120, position 13
Identifier "tokenizer" line 120, position 20
Separator "." line 120, position 29
Identifier "nextToken" line 120, position 30
Separator "(" line 120, position 39
Separator ")" line 120, position 40
Separator ";" line 120, position 41
Separator "}" line 121, position 9
Modifier "public" line 123, position 9
BasicType "int" line 123, position 16
Identifier "nextInt" line 123, position 20
Separator "(" line 123, position 27
Separator ")" line 123, position 28
Separator "{" line 123, position 30
Keyword "return" line 124, position 13
Identifier "Integer" line 124, position 20
Separator "." line 124, position 27
Identifier "parseInt" line 124, position 28
Separator "(" line 124, position 36
Identifier "next" line 124, position 37
Separator "(" line 124, position 41
Separator ")" line 124, position 42
Separator ")" line 124, position 43
Separator ";" line 124, position 44
Separator "}" line 125, position 9
Separator "}" line 127, position 5
Separator "}" line 128, position 1
