Keyword "import" line 1, position 1
Identifier "in" line 19, position 41
Separator ")" line 19, position 43
Separator ";" line 19, position 44
BasicType "int" line 20, position 9
Identifier "n" line 20, position 13
Operator "=" line 20, position 15
Identifier "sc" line 20, position 17
Separator "." line 20, position 19
Identifier "nextInt" line 20, position 20
Separator "(" line 20, position 27
Separator ")" line 20, position 28
Separator ";" line 20, position 29
BasicType "int" line 21, position 9
Identifier "a" line 21, position 13
Separator "[" line 21, position 14
Separator "]" line 21, position 15
Operator "=" line 21, position 16
Keyword "new" line 21, position 17
BasicType "int" line 21, position 21
Separator "[" line 21, position 24
Identifier "n" line 21, position 25
Separator "]" line 21, position 26
Separator ";" line 21, position 27
Keyword "for" line 22, position 9
Separator "(" line 22, position 13
BasicType "int" line 22, position 14
Identifier "i" line 22, position 18
Operator "=" line 22, position 19
DecimalInteger "0" line 22, position 20
Separator ";" line 22, position 21
Identifier "i" line 22, position 22
Operator "<" line 22, position 23
Identifier "n" line 22, position 24
Separator ";" line 22, position 25
Operator "++" line 22, position 26
Identifier "i" line 22, position 28
Separator ")" line 22, position 29
Identifier "a" line 22, position 32
Separator "[" line 22, position 33
Identifier "i" line 22, position 34
Separator "]" line 22, position 35
Operator "=" line 22, position 36
Identifier "sc" line 22, position 37
Separator "." line 22, position 39
Identifier "nextInt" line 22, position 40
Separator "(" line 22, position 47
Separator ")" line 22, position 48
Separator ";" line 22, position 49
Keyword "for" line 25, position 9
Separator "(" line 25, position 13
BasicType "int" line 25, position 14
Identifier "i" line 25, position 18
Operator "=" line 25, position 19
DecimalInteger "0" line 25, position 20
Separator ";" line 25, position 21
Identifier "i" line 25, position 22
Operator "<" line 25, position 23
Identifier "n" line 25, position 24
Separator ";" line 25, position 25
Operator "++" line 25, position 26
Identifier "i" line 25, position 28
Separator ")" line 25, position 29
Separator "{" line 26, position 9
BasicType "int" line 27, position 13
Identifier "b" line 27, position 17
Separator "[" line 27, position 18
Separator "]" line 27, position 19
Operator "=" line 27, position 20
Keyword "new" line 27, position 21
BasicType "int" line 27, position 25
Separator "[" line 27, position 28
Identifier "n" line 27, position 29
Separator "]" line 27, position 30
Separator ";" line 27, position 31
Identifier "System" line 28, position 13
Separator "." line 28, position 19
Identifier "arraycopy" line 28, position 20
Separator "(" line 28, position 29
Identifier "a" line 28, position 30
Separator "," line 28, position 31
DecimalInteger "0" line 28, position 32
Separator "," line 28, position 33
Identifier "b" line 28, position 34
Separator "," line 28, position 35
DecimalInteger "0" line 28, position 36
Separator "," line 28, position 37
Identifier "n" line 28, position 38
Separator ")" line 28, position 39
Separator ";" line 28, position 40
Identifier "b" line 29, position 13
Separator "[" line 29, position 14
Identifier "i" line 29, position 15
Separator "]" line 29, position 16
Operator "=" line 29, position 17
Identifier "Integer" line 29, position 18
Separator "." line 29, position 25
Identifier "MIN_VALUE" line 29, position 26
Separator ";" line 29, position 35
Identifier "Arrays" line 30, position 13
Separator "." line 30, position 19
Identifier "sort" line 30, position 20
Separator "(" line 30, position 24
Identifier "b" line 30, position 25
Separator ")" line 30, position 26
Separator ";" line 30, position 27
Identifier "System" line 31, position 13
Separator "." line 31, position 19
Identifier "out" line 31, position 20
Separator "." line 31, position 23
Identifier "println" line 31, position 24
Separator "(" line 31, position 31
Identifier "b" line 31, position 32
Separator "[" line 31, position 33
Identifier "n" line 31, position 34
Operator "-" line 31, position 35
DecimalInteger "1" line 31, position 36
Separator "]" line 31, position 37
Separator ")" line 31, position 38
Separator ";" line 31, position 39
Separator "}" line 32, position 9
Separator "}" line 39, position 5
Separator "}" line 40, position 1
