Keyword "import" line 1, position 1
Separator ";" line 14, position 22
Identifier "i" line 14, position 23
Operator "<" line 14, position 25
Identifier "N" line 14, position 27
Separator ";" line 14, position 28
Identifier "i" line 14, position 29
Operator "++" line 14, position 30
Separator ")" line 14, position 32
Separator "{" line 14, position 34
Identifier "A" line 15, position 13
Separator "[" line 15, position 14
Identifier "i" line 15, position 15
Separator "]" line 15, position 16
Operator "=" line 15, position 18
Identifier "nextInt" line 15, position 20
Separator "(" line 15, position 27
Separator ")" line 15, position 28
Separator ";" line 15, position 29
Identifier "max" line 16, position 13
Operator "=" line 16, position 17
Identifier "Math" line 16, position 19
Separator "." line 16, position 23
Identifier "max" line 16, position 24
Separator "(" line 16, position 27
Identifier "max" line 16, position 28
Separator "," line 16, position 31
Identifier "A" line 16, position 33
Separator "[" line 16, position 34
Identifier "i" line 16, position 35
Separator "]" line 16, position 36
Separator ")" line 16, position 37
Separator ";" line 16, position 38
Separator "}" line 17, position 9
Identifier "TreeMap" line 19, position 9
Operator "<" line 19, position 16
Identifier "Integer" line 19, position 17
Separator "," line 19, position 24
Identifier "Integer" line 19, position 26
Operator ">" line 19, position 33
Identifier "map" line 19, position 35
Operator "=" line 19, position 39
Keyword "new" line 19, position 41
Identifier "TreeMap" line 19, position 45
Operator "<" line 19, position 52
Operator ">" line 19, position 53
Separator "(" line 19, position 54
Separator ")" line 19, position 55
Separator ";" line 19, position 56
Keyword "for" line 20, position 9
Separator "(" line 20, position 12
BasicType "int" line 20, position 13
Identifier "i" line 20, position 17
Operator "=" line 20, position 19
DecimalInteger "0" line 20, position 21
Separator ";" line 20, position 22
Identifier "i" line 20, position 23
Operator "<" line 20, position 25
Identifier "N" line 20, position 27
Separator ";" line 20, position 28
Identifier "i" line 20, position 29
Operator "++" line 20, position 30
Separator ")" line 20, position 32
Separator "{" line 20, position 34
Identifier "map" line 21, position 13
Separator "." line 21, position 16
Identifier "put" line 21, position 17
Separator "(" line 21, position 20
Identifier "A" line 21, position 21
Separator "[" line 21, position 22
Identifier "i" line 21, position 23
Separator "]" line 21, position 24
Separator "," line 21, position 25
Identifier "map" line 21, position 27
Separator "." line 21, position 30
Identifier "getOrDefault" line 21, position 31
Separator "(" line 21, position 43
Identifier "A" line 21, position 44
Separator "[" line 21, position 45
Identifier "i" line 21, position 46
Separator "]" line 21, position 47
Separator "," line 21, position 48
DecimalInteger "0" line 21, position 50
Separator ")" line 21, position 51
Operator "+" line 21, position 53
DecimalInteger "1" line 21, position 55
Separator ")" line 21, position 56
Separator ";" line 21, position 57
Separator "}" line 22, position 9
Keyword "for" line 24, position 9
Separator "(" line 24, position 12
BasicType "int" line 24, position 13
Identifier "i" line 24, position 17
Operator "=" line 24, position 19
DecimalInteger "0" line 24, position 21
Separator ";" line 24, position 22
Identifier "i" line 24, position 23
Operator "<" line 24, position 25
Identifier "N" line 24, position 27
Separator ";" line 24, position 28
Identifier "i" line 24, position 29
Operator "++" line 24, position 30
Separator ")" line 24, position 32
Separator "{" line 24, position 34
Keyword "if" line 25, position 13
Separator "(" line 25, position 16
Identifier "A" line 25, position 17
Separator "[" line 25, position 18
Identifier "i" line 25, position 19
Separator "]" line 25, position 20
Operator "==" line 25, position 22
Identifier "max" line 25, position 25
Separator ")" line 25, position 28
Separator "{" line 25, position 30
Keyword "if" line 26, position 17
Separator "(" line 26, position 20
Identifier "map" line 26, position 21
Separator "." line 26, position 24
Identifier "get" line 26, position 25
Separator "(" line 26, position 28
Identifier "A" line 26, position 29
Separator "[" line 26, position 30
Identifier "i" line 26, position 31
Separator "]" line 26, position 32
Separator ")" line 26, position 33
Operator ">" line 26, position 35
DecimalInteger "1" line 26, position 37
Separator ")" line 26, position 38
Separator "{" line 26, position 40
Identifier "out" line 27, position 21
Separator "." line 27, position 24
Identifier "println" line 27, position 25
Separator "(" line 27, position 32
Identifier "A" line 27, position 33
Separator "[" line 27, position 34
Identifier "i" line 27, position 35
Separator "]" line 27, position 36
Separator ")" line 27, position 37
Separator ";" line 27, position 38
Separator "}" line 28, position 17
Keyword "else" line 28, position 19
Separator "{" line 28, position 24
Identifier "out" line 29, position 21
Separator "." line 29, position 24
Identifier "println" line 29, position 25
Separator "(" line 29, position 32
Identifier "map" line 29, position 33
Separator "." line 29, position 36
Identifier "lowerKey" line 29, position 37
Separator "(" line 29, position 45
Identifier "A" line 29, position 46
Separator "[" line 29, position 47
Identifier "i" line 29, position 48
Separator "]" line 29, position 49
Separator ")" line 29, position 50
Separator ")" line 29, position 51
Separator ";" line 29, position 52
Separator "}" line 30, position 17
Separator "}" line 31, position 13
Keyword "else" line 31, position 15
Separator "{" line 31, position 20
Identifier "out" line 32, position 17
Separator "." line 32, position 20
Identifier "println" line 32, position 21
Separator "(" line 32, position 28
Identifier "max" line 32, position 29
Separator ")" line 32, position 32
Separator ";" line 32, position 33
Separator "}" line 33, position 13
Separator "}" line 34, position 9
Separator "}" line 35, position 5
Modifier "public" line 37, position 5
Modifier "static" line 37, position 12
Keyword "void" line 37, position 19
Identifier "main" line 37, position 24
Separator "(" line 37, position 28
Identifier "String" line 37, position 29
Separator "[" line 37, position 35
Separator "]" line 37, position 36
Identifier "args" line 37, position 38
Separator ")" line 37, position 42
Separator "{" line 37, position 44
Identifier "out" line 38, position 9
Separator "." line 38, position 12
Identifier "flush" line 38, position 13
Separator "(" line 38, position 18
Separator ")" line 38, position 19
Separator ";" line 38, position 20
Keyword "new" line 39, position 9
Identifier "Main" line 39, position 13
Separator "(" line 39, position 17
Separator ")" line 39, position 18
Separator "." line 39, position 19
Identifier "solve" line 39, position 20
Separator "(" line 39, position 25
Separator ")" line 39, position 26
Separator ";" line 39, position 27
Identifier "out" line 40, position 9
Separator "." line 40, position 12
Identifier "close" line 40, position 13
Separator "(" line 40, position 18
Separator ")" line 40, position 19
Separator ";" line 40, position 20
Separator "}" line 41, position 5
Modifier "private" line 44, position 5
Modifier "static" line 44, position 13
Modifier "final" line 44, position 20
Identifier "InputStream" line 44, position 26
Identifier "in" line 44, position 38
Operator "=" line 44, position 41
Identifier "System" line 44, position 43
Separator "." line 44, position 49
Identifier "in" line 44, position 50
Separator ";" line 44, position 52
Modifier "private" line 45, position 5
Modifier "static" line 45, position 13
Modifier "final" line 45, position 20
Identifier "PrintWriter" line 45, position 26
Identifier "out" line 45, position 38
Operator "=" line 45, position 42
Keyword "new" line 45, position 44
Identifier "PrintWriter" line 45, position 48
Separator "(" line 45, position 59
Identifier "System" line 45, position 60
Separator "." line 45, position 66
Identifier "out" line 45, position 67
Separator ")" line 45, position 70
Separator ";" line 45, position 71
Modifier "private" line 46, position 5
Modifier "final" line 46, position 13
BasicType "byte" line 46, position 19
Separator "[" line 46, position 23
Separator "]" line 46, position 24
Identifier "buffer" line 46, position 26
Operator "=" line 46, position 33
Keyword "new" line 46, position 35
BasicType "byte" line 46, position 39
Separator "[" line 46, position 43
DecimalInteger "4096" line 46, position 44
Separator "]" line 46, position 48
Separator ";" line 46, position 49
Modifier "private" line 47, position 5
BasicType "int" line 47, position 13
Identifier "p" line 47, position 17
Operator "=" line 47, position 19
DecimalInteger "0" line 47, position 21
Separator ";" line 47, position 22
Modifier "private" line 48, position 5
BasicType "int" line 48, position 13
Identifier "buflen" line 48, position 17
Operator "=" line 48, position 24
DecimalInteger "0" line 48, position 26
Separator ";" line 48, position 27
Modifier "private" line 50, position 5
BasicType "boolean" line 50, position 13
Identifier "hasNextByte" line 50, position 21
Separator "(" line 50, position 32
Separator ")" line 50, position 33
Separator "{" line 50, position 35
Keyword "if" line 51, position 9
Separator "(" line 51, position 12
Identifier "p" line 51, position 13
Operator "<" line 51, position 15
Identifier "buflen" line 51, position 17
Separator ")" line 51, position 23
Keyword "return" line 52, position 13
Boolean "true" line 52, position 20
Separator ";" line 52, position 24
Identifier "p" line 53, position 9
Operator "=" line 53, position 11
DecimalInteger "0" line 53, position 13
Separator ";" line 53, position 14
Keyword "try" line 54, position 9
Separator "{" line 54, position 13
Identifier "buflen" line 55, position 13
Operator "=" line 55, position 20
Identifier "in" line 55, position 22
Separator "." line 55, position 24
Identifier "read" line 55, position 25
Separator "(" line 55, position 29
Identifier "buffer" line 55, position 30
Separator ")" line 55, position 36
Separator ";" line 55, position 37
Separator "}" line 56, position 9
Keyword "catch" line 56, position 11
Separator "(" line 56, position 17
Identifier "IOException" line 56, position 18
Identifier "e" line 56, position 30
Separator ")" line 56, position 31
Separator "{" line 56, position 33
Identifier "e" line 57, position 13
Separator "." line 57, position 14
Identifier "printStackTrace" line 57, position 15
Separator "(" line 57, position 30
Separator ")" line 57, position 31
Separator ";" line 57, position 32
Separator "}" line 58, position 9
Keyword "if" line 59, position 9
Separator "(" line 59, position 12
Identifier "buflen" line 59, position 13
Operator "<=" line 59, position 20
DecimalInteger "0" line 59, position 23
Separator ")" line 59, position 24
Keyword "return" line 60, position 13
Boolean "false" line 60, position 20
Separator ";" line 60, position 25
Keyword "return" line 61, position 9
Boolean "true" line 61, position 16
Separator ";" line 61, position 20
Separator "}" line 62, position 5
Modifier "public" line 64, position 5
BasicType "boolean" line 64, position 12
Identifier "hasNext" line 64, position 20
Separator "(" line 64, position 27
Separator ")" line 64, position 28
Separator "{" line 64, position 30
Keyword "while" line 65, position 9
Separator "(" line 65, position 15
Identifier "hasNextByte" line 65, position 16
Separator "(" line 65, position 27
Separator ")" line 65, position 28
Operator "&&" line 65, position 30
Operator "!" line 65, position 33
Identifier "isPrint" line 65, position 34
Separator "(" line 65, position 41
Identifier "buffer" line 65, position 42
Separator "[" line 65, position 48
Identifier "p" line 65, position 49
Separator "]" line 65, position 50
Separator ")" line 65, position 51
Separator ")" line 65, position 52
Separator "{" line 65, position 54
Identifier "p" line 66, position 13
Operator "++" line 66, position 14
Separator ";" line 66, position 16
Separator "}" line 67, position 9
Keyword "return" line 68, position 9
Identifier "hasNextByte" line 68, position 16
Separator "(" line 68, position 27
Separator ")" line 68, position 28
Separator ";" line 68, position 29
Separator "}" line 69, position 5
Modifier "private" line 71, position 5
BasicType "boolean" line 71, position 13
Identifier "isPrint" line 71, position 21
Separator "(" line 71, position 28
BasicType "int" line 71, position 29
Identifier "ch" line 71, position 33
Separator ")" line 71, position 35
Separator "{" line 71, position 37
Keyword "if" line 72, position 9
Separator "(" line 72, position 12
Identifier "ch" line 72, position 13
Operator ">=" line 72, position 16
String "'!'" line 72, position 19
Operator "&&" line 72, position 23
Identifier "ch" line 72, position 26
Operator "<=" line 72, position 29
String "'~'" line 72, position 32
Separator ")" line 72, position 35
Keyword "return" line 73, position 13
Boolean "true" line 73, position 20
Separator ";" line 73, position 24
Keyword "return" line 74, position 9
Boolean "false" line 74, position 16
Separator ";" line 74, position 21
Separator "}" line 75, position 5
Modifier "private" line 77, position 5
BasicType "int" line 77, position 13
Identifier "nextByte" line 77, position 17
Separator "(" line 77, position 25
Separator ")" line 77, position 26
Separator "{" line 77, position 28
Keyword "if" line 78, position 9
Separator "(" line 78, position 12
Operator "!" line 78, position 13
Identifier "hasNextByte" line 78, position 14
Separator "(" line 78, position 25
Separator ")" line 78, position 26
Separator ")" line 78, position 27
Keyword "return" line 79, position 13
Operator "-" line 79, position 20
DecimalInteger "1" line 79, position 21
Separator ";" line 79, position 22
Keyword "return" line 80, position 9
Identifier "buffer" line 80, position 16
Separator "[" line 80, position 22
Identifier "p" line 80, position 23
Operator "++" line 80, position 24
Separator "]" line 80, position 26
Separator ";" line 80, position 27
Separator "}" line 81, position 5
Modifier "public" line 83, position 5
Identifier "String" line 83, position 12
Identifier "next" line 83, position 19
Separator "(" line 83, position 23
Separator ")" line 83, position 24
Separator "{" line 83, position 26
Keyword "if" line 84, position 9
Separator "(" line 84, position 12
Operator "!" line 84, position 13
Identifier "hasNext" line 84, position 14
Separator "(" line 84, position 21
Separator ")" line 84, position 22
Separator ")" line 84, position 23
Keyword "throw" line 85, position 13
Keyword "new" line 85, position 19
Identifier "NoSuchElementException" line 85, position 23
Separator "(" line 85, position 45
Separator ")" line 85, position 46
Separator ";" line 85, position 47
Identifier "StringBuilder" line 86, position 9
Identifier "sb" line 86, position 23
Operator "=" line 86, position 26
Keyword "new" line 86, position 28
Identifier "StringBuilder" line 86, position 32
Separator "(" line 86, position 45
Separator ")" line 86, position 46
Separator ";" line 86, position 47
BasicType "int" line 87, position 9
Identifier "b" line 87, position 13
Operator "=" line 87, position 15
Operator "-" line 87, position 17
DecimalInteger "1" line 87, position 18
Separator ";" line 87, position 19
Keyword "while" line 88, position 9
Separator "(" line 88, position 15
Identifier "isPrint" line 88, position 16
Separator "(" line 88, position 23
Separator "(" line 88, position 24
Identifier "b" line 88, position 25
Operator "=" line 88, position 27
Identifier "nextByte" line 88, position 29
Separator "(" line 88, position 37
Separator ")" line 88, position 38
Separator ")" line 88, position 39
Separator ")" line 88, position 40
Separator ")" line 88, position 41
Separator "{" line 88, position 43
Identifier "sb" line 89, position 13
Separator "." line 89, position 15
Identifier "appendCodePoint" line 89, position 16
Separator "(" line 89, position 31
Identifier "b" line 89, position 32
Separator ")" line 89, position 33
Separator ";" line 89, position 34
Separator "}" line 90, position 9
Keyword "return" line 91, position 9
Identifier "sb" line 91, position 16
Separator "." line 91, position 18
Identifier "toString" line 91, position 19
Separator "(" line 91, position 27
Separator ")" line 91, position 28
Separator ";" line 91, position 29
Separator "}" line 92, position 5
Modifier "public" line 94, position 5
BasicType "int" line 94, position 12
Identifier "nextInt" line 94, position 16
Separator "(" line 94, position 23
Separator ")" line 94, position 24
Separator "{" line 94, position 26
Keyword "return" line 95, position 9
Identifier "Integer" line 95, position 16
Separator "." line 95, position 23
Identifier "parseInt" line 95, position 24
Separator "(" line 95, position 32
Identifier "next" line 95, position 33
Separator "(" line 95, position 37
Separator ")" line 95, position 38
Separator ")" line 95, position 39
Separator ";" line 95, position 40
Separator "}" line 96, position 5
Modifier "public" line 98, position 5
BasicType "long" line 98, position 12
Identifier "nextLong" line 98, position 17
Separator "(" line 98, position 25
Separator ")" line 98, position 26
Separator "{" line 98, position 28
Keyword "return" line 99, position 9
Identifier "Long" line 99, position 16
Separator "." line 99, position 20
Identifier "parseLong" line 99, position 21
Separator "(" line 99, position 30
Identifier "next" line 99, position 31
Separator "(" line 99, position 35
Separator ")" line 99, position 36
Separator ")" line 99, position 37
Separator ";" line 99, position 38
Separator "}" line 100, position 5
Modifier "public" line 102, position 5
BasicType "double" line 102, position 12
Identifier "nextDouble" line 102, position 19
Separator "(" line 102, position 29
Separator ")" line 102, position 30
Separator "{" line 102, position 32
Keyword "return" line 103, position 9
Identifier "Double" line 103, position 16
Separator "." line 103, position 22
Identifier "parseDouble" line 103, position 23
Separator "(" line 103, position 34
Identifier "next" line 103, position 35
Separator "(" line 103, position 39
Separator ")" line 103, position 40
Separator ")" line 103, position 41
Separator ";" line 103, position 42
Separator "}" line 104, position 5
Separator "}" line 105, position 1
